,member_id,transaction_count,interval_avg,elapsed_days,amount_total,amount_transaction_avg,class_total,week_count,weekMorning_count,weekEvening_count,weekNorm_count,weekend_count,weekMorning_amount,weekEvening_amount,weekNorm_amount,weekend_amunt,attrition
0,1449.0,3.0,5.666666666666667,1.0,385.51,128.50333333333333,20.0,3.0,0.0,1.0,0.0,2.0,0.0,100.60999999999999,0.0,284.9,0.0
1,6183.0,2.0,0.5,1.0,243.8,121.9,7.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,243.8,1.0
2,6780.0,5.0,4.0,1.0,400.73999999999995,80.148,22.0,3.0,0.0,1.0,0.0,4.0,0.0,95.99,0.0,304.75,0.0
3,112.0,4.0,4.5,1.0,270.53000000000003,67.63250000000001,12.0,3.0,0.0,1.0,1.0,2.0,0.0,45.03,164.26000000000002,61.239999999999995,0.0
4,5058.0,3.0,0.3333333333333333,1.0,405.2,135.06666666666666,5.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,405.2,0.0
5,4259.0,1.0,1.0,1.0,756.0,756.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,756.0,1.0
6,6197.0,5.0,3.0,1.0,1076.3000000000002,215.26000000000005,15.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1076.3000000000002,1.0
7,7151.0,4.0,5.25,1.0,2130.4,532.6,4.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,472.5,1657.9,0.0
8,6455.0,4.0,2.75,1.0,429.29999999999995,107.32499999999999,25.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,271.43000000000006,157.87,0.0
9,3519.0,7.0,3.4285714285714284,1.0,1368.0500000000002,195.4357142857143,16.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,919.1600000000001,448.89,0.0
10,478.0,3.0,7.333333333333333,1.0,198.24,66.08,15.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,198.24,0.0
11,2224.0,7.0,3.7142857142857144,1.0,5632.6,804.657142857143,16.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,627.3999999999999,5005.2,0.0
12,4601.0,4.0,6.5,1.0,120.9,30.225,9.0,3.0,0.0,1.0,1.0,2.0,0.0,22.3,13.8,84.8,0.0
13,7343.0,2.0,0.5,1.0,181.1,90.55,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,181.1,0.0
14,6393.0,3.0,0.3333333333333333,1.0,298.15999999999997,99.38666666666666,10.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,298.15999999999997,1.0
15,8528.0,1.0,1.0,1.0,3000.0,3000.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3000.0,0.0
16,7614.0,3.0,0.3333333333333333,1.0,564.8799999999999,188.2933333333333,20.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,564.8799999999999,1.0
17,2840.0,2.0,0.5,1.0,357.0,178.5,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,357.0,1.0
18,5728.0,2.0,2.0,1.0,51.8,25.9,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,11.9,39.9,0.0
19,7508.0,4.0,6.75,1.0,653.1499999999999,163.28749999999997,15.0,3.0,0.0,1.0,0.0,3.0,0.0,65.55,0.0,587.5999999999999,0.0
20,8557.0,2.0,0.5,1.0,363.01000000000005,181.50500000000002,11.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,363.01000000000005,0.0
21,9294.0,9.0,2.6666666666666665,1.0,11368.499999999998,1263.1666666666665,6.0,3.0,0.0,0.0,6.0,3.0,0.0,0.0,7274.5,4094.0,0.0
22,4400.0,16.0,1.9375,1.0,1027.58,64.22375,32.0,5.0,0.0,4.0,6.0,6.0,0.0,97.38,647.05,283.15,0.0
23,5312.0,4.0,0.5,1.0,724.0799999999999,181.01999999999998,26.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,724.0799999999999,0.0
24,9332.0,2.0,10.0,1.0,990.21,495.105,8.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,64.21000000000001,926.0,1.0
25,6454.0,6.0,3.8333333333333335,1.0,638.17,106.36166666666666,26.0,4.0,0.0,1.0,3.0,2.0,0.0,101.5,197.35999999999999,339.31,0.0
26,4046.0,6.0,4.833333333333333,1.0,638.67,106.445,17.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,638.67,0.0
27,21.0,21.0,1.4761904761904763,1.0,404.56,19.264761904761905,18.0,5.0,4.0,0.0,11.0,6.0,48.51,0.0,271.74,84.31,0.0
28,6778.0,5.0,4.2,1.0,115.80000000000001,23.160000000000004,11.0,3.0,1.0,0.0,2.0,2.0,14.7,0.0,56.489999999999995,44.61,0.0
29,6409.0,4.0,7.5,1.0,440.47999999999996,110.11999999999999,24.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,440.47999999999996,0.0
30,3710.0,2.0,5.0,1.0,285.78,142.89,8.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,215.00000000000003,70.78,1.0
31,7484.0,2.0,8.0,1.0,961.0099999999998,480.5049999999999,33.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,961.0099999999998,0.0
32,7404.0,2.0,11.5,1.0,706.51,353.255,25.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,706.51,1.0
33,8120.0,2.0,10.0,1.0,380.61999999999995,190.30999999999997,14.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,185.95000000000002,194.67,0.0
34,2976.0,18.0,1.7222222222222223,1.0,3662.0799999999995,203.44888888888886,44.0,5.0,2.0,7.0,4.0,5.0,21.15,581.0900000000001,1542.6499999999999,1517.19,0.0
35,5095.0,3.0,9.666666666666666,1.0,426.03999999999996,142.01333333333332,18.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,426.03999999999996,0.0
