,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
4,frozenset({'001_绿叶蔬菜'}),frozenset({'007_新鲜水果'}),0.16375545851528384,0.30484508213765854,0.08208567269702641,0.5012698412698413,1.644342883128695,0.03216562649544477,1.3938497716526899
28,frozenset({'002_根茎蔬菜'}),frozenset({'007_新鲜水果'}),0.11811187357038885,0.30484508213765854,0.05489706799750468,0.4647887323943662,1.5246719059239475,0.01889124419750675,1.298842083374375
42,frozenset({'003_水果蔬菜'}),frozenset({'007_新鲜水果'}),0.1065710126845498,0.30484508213765854,0.04933458099396964,0.4629268292682927,1.5185642032409412,0.016846931878654603,1.2943393111878292
1,frozenset({'002_根茎蔬菜'}),frozenset({'001_绿叶蔬菜'}),0.11811187357038885,0.16375545851528384,0.05016635475150759,0.42473591549295775,2.5937206572769953,0.03082489073888933,1.4536706949145182
297,frozenset({'053_酱油/醋'}),frozenset({'051_调味品'}),0.11062590975254731,0.1945830734040341,0.046371386982740695,0.41917293233082703,2.1542106669291448,0.02484545746497273,1.3866725079257407
439,frozenset({'140_卫生巾/护垫'}),frozenset({'137_纸巾'}),0.09144312746932834,0.14644416718652525,0.036857974630900396,0.4030699260943718,2.7523795166316423,0.02346666198372334,1.4299092475418114
52,frozenset({'008_豆制品'}),frozenset({'007_新鲜水果'}),0.17857142857142858,0.30484508213765854,0.07127261384903306,0.39912663755458516,1.3092769440654843,0.016835992038736897,1.1569075304540424
72,frozenset({'043_低温酸奶'}),frozenset({'007_新鲜水果'}),0.156997296735288,0.30484508213765854,0.061291328758577665,0.39039735099337747,1.280641787808426,0.01343147493991844,1.1403410385357258
68,frozenset({'031_面包'}),frozenset({'007_新鲜水果'}),0.15205864004990644,0.30484508213765854,0.05848409232688709,0.3846153846153846,1.2616748871864834,0.012129763711132703,1.1296267415263048
387,frozenset({'080_糖果'}),frozenset({'076_干脆小食'}),0.10017675192347682,0.1576731129132876,0.03841755042628405,0.3834976647638817,2.432232469303669,0.022622370108967293,1.3662995887340865
